Vault,Address,GitHub
WETH,0xe1237aa7f535b0cc33fd973d66cbf830354d16c7,yWETH.sol
YFI,0xba2e7fed597fd0e3e70f5130bcdbbfe06bb94fe1,yVault.sol
curve.fi/3pool LP,0x9cA85572E6A3EbF24dEDd195623F188735A5179f,yVault.sol
curve.fi/y LP,0x5dbcf33d8c2e976c6b560249878e6f1491bca25c,yVault.sol
curve.fi/busd LP,0x2994529c0652d127b7842094103715ec5299bbed,yVault.sol
curve.fi/sbtc LP,0x7ff566e1d69deff32a7b244ae7276b9f90e9d0f6,yVault.sol
DAI,0xacd43e627e64355f1861cec6d3a6688b31a6f952,yVault.sol
TUSD,0x37d19d1c4e1fa9dc47bd1ea12f742a0887eda74a,yVault.sol
USDC,0x597ad1e0c13bfe8025993d9e79c69e1c0233522e,yVault.sol
USDT,0x2f08119c6f07c006695e079aafc638b8789faf18,yVault.sol
GUSD,0xec0d8d3ed5477106c6d4ea27d90a60e594693c90,yVault.sol